movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
,,"Hugo Becker, Etienne Guillou-Kervern, Ibrahima Ba, Ahmed Sylla, Hakim Jemili",Comédie,France,Ludovic Bernard,tt27722530,,,,,, Ici Et Là Bas,https://m.media-amazon.com/images/M/MV5BOTFjMTQxNmItMGEyZS00Y2RjLThlMDUtMGE2ODIyOGU2ZDZmXkEyXkFqcGdeQXVyNjc2MjgxNzg@._V1_.jpg,Prelude,"Un problème de visa oblige Adrien à revenir à Paris après 15 ans passés au Sénégal avec sa femme Aminata. Son cousin Sékou, éloigné de ses origines sénégalaises, l'héberge.",Ici Et Là-Bas,https://www.imdb.com/title/tt27722530/?ref_=rlm,,17-04-2024
,,"Rachel Zegler, Gal Gadot, Andrew Burnap, Ansu Kabia, Luisa Guerreiro, Colin Michael Carmichael, Eddison Burch, Leon Ung, Dean Nolan, Dujonna Gift, Emilia Faucher, Joshmaine Joseph, Kathryn Akin, Gabriela Garcia, Kat Collings, Jon-Scott Clark, Alison Eager, Charlotte Scally","Aventure, Drame, Famille","États-Unis, Italie, Royaume-Uni",Marc Webb,tt6208148,,,1441,,, Snow White,https://m.media-amazon.com/images/M/MV5BOTU5ZDZmNDMtMGQ5Mi00OTBmLWI2YTctNDQ0NjIyYWRmZTZiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,"Marc Platt Productions, The Walt Disney Company, Walt Disney Pictures","Adaptation en prise de vue réelle du film d'animation Disney de 1937 ""Blanche-Neige et les sept nains"".",Blanche-Neige,https://www.imdb.com/title/tt6208148/?ref_=rlm,,20-03-2025
,,"Nabil Atif, Mehdi Azekri, Rafik Boubker, Driss Chalouh, Soukaina Darabil, Amal El Atrache, Salwa Zahrane",Policier,Maroc,Rabii Chajid,tt27684533,,,,,90,,https://m.media-amazon.com/images/M/MV5BYzk0ZjU4YjYtYTExNy00MzRmLTljYWMtNzc3OWQ3NWYzNTVkXkEyXkFqcGdeQXVyMTE0MDc0NTAx._V1_.jpg,Cineland,"The events of the film revolve around Halim and Mounir who accidentally come across a magic notebook. One night, unaware of the powers of this notebook, Halim, on a whim and after being rejected by the bodyguards of a big city club, expresses his anger by writing a wish on the no...",Jouj,https://www.imdb.com/title/tt27684533/?ref_=rlm,,17-04-2024
,150000000,"Mark Ruffalo, Robert Pattinson, Toni Collette, Steven Yeun, Thomas Turgoose, Naomi Ackie, Patsy Ferran, Daniel Henshall, Steve Park, Chelsea Li, Spike White, Stuart Whelan, Liam Edwards, Sam Woodhams, Jamila Wingett, Michael Monroe, Tom Cawte, Johnny Li Gotti","Aventure, Drame, Science-fiction","États-Unis, Royaume-Uni",Bong Joon Ho,tt12299608,,,2873,,139,,,"Kate Street Picture Company, Offscreen, Plan B Entertainment","Pour éviter que Mickey8, son clone de remplacement, ne prenne sa place, Mickey7, un robot appelé ""sacrifiable"", est envoyé sur une planète froide pour la coloniser.",Mickey 17,https://www.imdb.com/title/tt12299608/?ref_=rlm,,29-01-2025
106,,"Trien de Haan-Zwagerman, Lola Sylman, Nadine Hwang, Sylvie Bianchi, Christian, Nelly Mousset Vos, Joan Schenkar, Natalie Clifford Barney, Jack, Raymond, Anne Bianchi, José Rafael Lovera, Maria Alexandra Lovera, Choumi, Maria Kurowska, Elsie Ragusin, ""Mary OShaughnessy"", Irene Krausz-Fainman","Documentaire, Historique, Guerre","Suède, Belgique, Norvège",Magnus Gertten,tt17074508,72,409,,7.2,92,,https://m.media-amazon.com/images/M/MV5BNzhlMTNiMDYtNDMxNS00NDAzLThjZWEtYTAxMmVmZWRjZmZiXkEyXkFqcGdeQXVyMjQ3MTMzNDU@._V1_.jpg,"Auto Images AB, Malmö, Associate Directors, UpNorth Film","Une histoire d'amour entre deux femmes qui tombent amoureuses la veille de Noël 1944, dans le camp de concentration de Ravensbrück. Pendant de nombreuses années, leur relation est restée secrète.",Nelly & Nadine,https://www.imdb.com/title/tt17074508/?ref_=rlm,,20-11-2024
,,"""Aulii Cravalho"", Dwayne Johnson, Alan Tudyk","Animation, Aventure, Comédie","États-Unis, Canada",David G. Derrick Jr.,tt13622970,,,886,,,,https://m.media-amazon.com/images/M/MV5BNWM2NmIxM2YtMzlhYi00NDllLTlkZjEtZWI1NDQ4ZjI0ZGQ5XkEyXkFqcGdeQXVyMDYyODA2Mw@@._V1_.jpg,"Disney Television Animation, The Walt Disney Company, Walt Disney Animation Canada",Moana et ses amis continuent d'explorer le Pacifique Sud dans cette série animée musicale.,Moana 2,https://www.imdb.com/title/tt13622970/?ref_=rlm,,10-12-2024
,,"Denzel Washington, Pedro Pascal, Paul Mescal, Connie Nielsen, Joseph Quinn, Matt Lucas, Derek Jacobi, Tim McInnerny, Fred Hechinger, May Calamawy, Peter Mensah, Lior Raz, Chidi Ajufo, Alfie Tempest, Lee Charles, Riana Duce, Chi Lewis-Parry, Mikhail Basmadjian","Action, Aventure, Drame","Royaume-Uni, États-Unis",Ridley Scott,tt9218128,,,157,,,,https://m.media-amazon.com/images/M/MV5BYTNmMzliMmYtNjEyZS00NGM3LWEzYWEtNmI3MGJjMTIzZjI4XkEyXkFqcGdeQXVyMTI3NjAxODc0._V1_.jpg,"Paramount Pictures, Scott Free Productions, Parkes/MacDonald Image Nation",La suite du film Gladiator de Ridley Scott.,Gladiator 2,https://www.imdb.com/title/tt9218128/?ref_=rlm,,20-11-2024
,,"""Ardal OHanlon"", Charlotte Friels, Sarah Aubrey, Ed Byrne, Semisi Cheekam, Erin Choy, Rupert Degas, Neil Delamere","Animation, Aventure","Allemagne, Irlande, Australie",Mark Gravas,tt28485522,,,,,86, My Freaky Family,https://m.media-amazon.com/images/M/MV5BMWQ3ODMwYmQtMWViZi00MjhiLWIyMGItZjAwYTQxMjM4MjMxXkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_.jpg,"Pop Family Entertainment, Telegael","On the cusp of her 13th birthday, Betty Flood - budding musician and magical being - just wants to be like the rest of her fabulous, but very different family, so why is her magical Mum so against it? As Betty wrestles with this, she also learns the amazing truth about her family...",Ma Famille D'Enfer,https://www.imdb.com/title/tt28485522/?ref_=rlm,,30-10-2024
,38967500,"Adèle Exarchopoulos, François Civil, Raphaël Quenard, Alain Chabat, Benoît Poelvoorde, Élodie Bouchez, Vincent Lacoste, Nicolas Wanczycki, Jean-Pascal Zadi, Anthony Bajon, Mallory Wanecque, Bastien Trouvé, Malik Frikah, Manon Jacquart, Emmanuel Dehaene, Jack Claudany, Sonia Bekam, Elias Hilali","Comédie, Drame, Comédie Musicale",France,Gilles Lellouche,tt27490099,,,,,,,https://m.media-amazon.com/images/M/MV5BMzA2YzRmNzUtZTcxMy00ZDkzLWJhNDItZDlmY2MzYTBkMDBiXkEyXkFqcGdeQXVyMTc3NDUyNTg3._V1_.jpg,"Chi-Fou-Mi Productions, StudioCanal, Trésor Films","L'histoire d'une relation improbable entre deux personnes. Une fille issue d'une famille de la classe moyenne supérieure et un garçon issu d'un milieu modeste tombent amoureux, mais s'éloignent l'un de l'autre.",L'Amour Ouf,https://www.imdb.com/title/tt27490099/?ref_=rlm,,16-10-2024
,,"Hicham Belaoudi, Lina El Arabi, Ouidad Elma, Wilfrid Grenier, Sairi Salma","Drame, Horreur",France,Abel Danan,tt30106363,,25,,7.9,,,,"Joli Rouge, Kador, Place du Marché Productions","Yara, une jeune marocaine de 25 ans venue étudier à Paris, agoraphobe elle ne sort pas, Un soir, une mystérieuse apparition vient perturber son quotidien, et l'oblige à revivre ses pires craintes, la poussant au bord de la folie.",La Damnée,https://www.imdb.com/title/tt30106363/?ref_=rlm,,09-10-2024
,28340000,"Tahar Rahim, Victor Meutelet, Soufiane Guerrab, Rupert Wynne-James, Sharon Mann, Etienne Guillou-Kervern, Bastien Bouillon, Petra Silander, Elisabeth Duda, Camille Moutawakil, Annie Mercier, Tiffany Hofstetter, Marie-Julie Baup, Laura Lieblein Adam, Anaïs Spinelli-Herry, Tigran Mekhitarian, Jérémie Petrus, Thibault Maunoury","Biographique, Drame, Musical",France,,tt26743414,,,,,,,,"Beside Productions, Kallouche Cinéma, Mandarin Films","Ce film retrace les débuts de Charles Aznavour, chanteur, auteur-compositeur et acteur franco-arménien emblématique, de zéro à la célébrité.",Monsieur Aznavour,https://www.imdb.com/title/tt26743414/?ref_=rlm,,23-10-2024
,5000,"Joshua Carter, Jace Carter, Jordyn Barnett, Christian Hernandez","Action, Aventure, Drame",États-Unis,Joshua Carter,tt30609082,,,,,,,https://m.media-amazon.com/images/M/MV5BZjkyZDZmZDYtMzRmZS00NThhLWI1MzAtNTlmNjUwZWE4NjQwXkEyXkFqcGdeQXVyMTUwNjI3NjU5._V1_.jpg,Filmbilow Pictures,"After The Crypto meets his long lost brother, Jameson finds out his brother is trying to use ultimate power to do something evil. Jameson will go on a huge adventure to find out how to stop his brother. He will have help by a few heroes.",The Crypto: Beyond,https://www.imdb.com/title/tt30609082/?ref_=rlm,,18-10-2024
,,"""Lupita Nyongo"", Pedro Pascal, ""Catherine OHara"", Bill Nighy, Stephanie Hsu, Kit Connor, Alexandra Novelle, Matt Berry, Ving Rhames, Mark Hamill","Animation, Aventure, Drame",États-Unis,Chris Sanders,tt29623480,,,1316,,,,https://m.media-amazon.com/images/M/MV5BNzg0OGUwM2UtOTJlNC00YjViLTgyN2QtNmQyYTE0NWNhZjA1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,"DreamWorks Animation, Universal Pictures","Après un naufrage, un robot intelligent appelé Roz échoue sur une île inhabitée. Pour survivre dans cet environnement hostile, Roz se lie avec les animaux de l'île et s'occupe d'un bébé oie orphelin.",The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=rlm,,09-10-2024
,,"Sara Giraudeau, Samir Guesmi, Aloïse Sauvage, Philippe Rebbot, Eva Yelmani, Justine Viotty, Jean-Philippe Buzaud, Amine Lajiri",,,,tt27811106,,,,,,,,Pyramide Productions,A young circus artist who discovers the world of professional clowns following an injury.,Sur Un Fil,https://www.imdb.com/title/tt27811106/?ref_=rlm,,06-11-2024
,,"Alexander Skarsgård, Andrea Riseborough, Kate Winslet, Andy Samberg, ""Josh OConnor"", Marion Cotillard, James Murray, Noémie Merlant, Samuel Barnett, Enrique Arce, Harriet Leitch, Zita Hanrot, Arinzé Kene, Katalin Ruzsik, Riley Neldam, Ian Dunnett Jnr, Toni Gojanovic, Anita Major","Biographique, Drame, Historique","Royaume-Uni, États-Unis",Ellen Kuras,tt5112584,59,285,1787,6.9,116, Lee,,"55 Films, Brouhaha Entertainment, Hantz Motion Pictures","L'histoire de la photographe Elizabeth 'Lee' Miller, mannequin de mode devenue correspondante de guerre acclamée pour le magazine Vogue pendant la Seconde Guerre mondiale.",Lee Miller,https://www.imdb.com/title/tt5112584/?ref_=rlm,,09-10-2024
,,"Camille Cottin, Benoît Magimel, Félix Lefebvre, Bamar Kane, Swala Emati, Bass Dhem, ""Ibrahima MBaye"", Anna Thiandoum",Drame,France,Simon Moutaïrou,tt27737203,,,,,,,,"Chi-Fou-Mi Productions, France 2 Cinéma, Les Autres Films","Île Maurice, 1759. Massamba et Mati sont esclaves dans une plantation. Une nuit, Mati s'enfuit. Madame La Victoire, chasseuse d'esclaves, est engagée pour la traquer. Massamba n'a d'autre choix que de s'évader à son tour.",Ni Chaînes Ni Maîtres,https://www.imdb.com/title/tt27737203/?ref_=rlm,,25-09-2024
,200000000,"Lady Gaga, Zazie Beetz, Catherine Keener, Joaquin Phoenix, Brendan Gleeson, Ken Leung, Steve Coogan, Gattlin Griffith, Jacob Lofland, Bill Smitrovich, Leigh Gill, Harry Lawtey, George Carroll, Tim Dillon, Sharon Washington, Mike Houston, Troy Metcalf, G.L. McQueary","Policier, Drame, Comédie Musicale",États-Unis,Todd Phillips,tt11315808,,,89,,,,https://m.media-amazon.com/images/M/MV5BMzRkNTUyMzAtZjE5My00YzkyLWEwOWUtODMwODllYjU5MTczXkEyXkFqcGdeQXVyNjMxMTE2Mjg@._V1_.jpg,"BRON Studios, Bron Creative, DC Entertainment","Suite du film ""Joker"" de 2019.",Joker: Folie À Deux,https://www.imdb.com/title/tt11315808/?ref_=rlm,,02-10-2024
,,"Gildas Adannou, Habib Ahandessi, Joséa Guedje",Documentaire,"France, Sénégal, Bénin",Mati Diop,tt31015216,85,87,,6.3,68,,https://m.media-amazon.com/images/M/MV5BYTA5ZDM1NDktYmZiZC00NWMwLTkxYzAtZmY0YzAzM2EwMTdkXkEyXkFqcGdeQXVyMjYzNTk1NTE@._V1_.jpg,"Arte France Cinéma, Fanta Sy, Les Films du Bal","Le parcours de 26 trésors royaux pillés du royaume du Dahomey exposés à Paris, en cours de restitution au Bénin. Diop exprime artistiquement les revendications d'une nouvelle génération.",Dahomey,https://www.imdb.com/title/tt31015216/?ref_=rlm,,25-09-2024
,,Pierre Niney,,France,,tt31809821,,,,,61,,,Partizan Films,,"Maya, Donne-Moi Un Titre",https://www.imdb.com/title/tt31809821/?ref_=rlm,,25-09-2024
,,"Sidse Babett Knudsen, Daniel Auteuil, Suliane Brahim, Grégory Gadebois, Alice Belaïdi, Isabelle Candelier, Florence Janas, Gaëtan Roussel, Aurore Auteuil, Nathalie Dodivers, Jean-Noël Brouté, Laurent Bozzi",Drame,France,,tt29102598,,,,,,,,"France 2 Cinéma, Zack Films, Zazi Films","A man is accused of murdering his wife. His lawyer must defend him against all odds, and especially against himself.",Le Fil,https://www.imdb.com/title/tt29102598/?ref_=rlm,,25-09-2024
,,"Vincent Cassel, Diane Kruger, Guy Pearce, Sandrine Holt, Al Sapienza, Jennifer Dale, Ingvar Sigurdsson, Elizabeth Saunders, Jeff Yung, Matt Willis, Eric Weinthal, Steve Switzman, Paddington","Horreur, Thriller","France, Canada",David Cronenberg,tt20212786,,,,,,,,"Prospero Pictures, SBS Productions, Saint Laurent","Karsh, un homme d'affaires innovant et veuf éploré, construit un dispositif permettant de communiquer avec les morts à l'intérieur d'un linceul funéraire.",The Shrouds,https://www.imdb.com/title/tt20212786/?ref_=rlm,,25-09-2024
,,"Bianca Delbravo, Dilvin Asaad, Safira Mossberg, Ida Engvoll, Mitja Siren, Marta Oldenburg, Alexander Öhrstrand",Drame,"Suède, Italie, Danemark, Finlande",Mika Gustafson,tt21874690,,312,,6.9,108, Paradiset Brinner,https://m.media-amazon.com/images/M/MV5BNzUxMWZkMzMtMmQyMy00Mjc5LTllNWEtYTMxYTI5NGExYTE1XkEyXkFqcGdeQXVyMTIxMTAzNzU4._V1_.jpg,"Hobab, IntraMovies, Toobox","Three sisters aged 7 to 16, live alone after their mother vanishes for whole swathes of time. When the social services demand a family meeting, oldest sister Laura plans to find a stand in for their mother.",Paradise Is Burning,https://www.imdb.com/title/tt21874690/?ref_=rlm,,28-08-2024
,,"James Franco, Tomer Sisley, Narayan David Hecter, Sonia Vachon, Liliya Atanasova","Action, Aventure, Thriller",,Olivier Masset-Depasse,tt23049322,,,,,,,https://m.media-amazon.com/images/M/MV5BM2I2MTIzZWQtMWEwZC00MTNhLWI5OWUtNzFlNDVlY2FmZjUzXkEyXkFqcGdeQXVyMTIyODg3MDI@._V1_.jpg,"BeTV, Canal+, Ciné+","It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",The Price Of Money: A Largo Winch Adventure,https://www.imdb.com/title/tt23049322/?ref_=rlm,,07-08-2024
,,"Isabela Merced, Cailee Spaeny, Archie Renaux, David Jonsson, Aileen Wu, Spike Fearn","Horreur, Science-fiction","Royaume-Uni, États-Unis",Fede Alvarez,tt18412256,,,22,,,,https://m.media-amazon.com/images/M/MV5BYWI1YzdlZTUtNzExYi00MmYxLTg5OWUtNzhkMDhhOWMwM2Y5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,"20th Century Studios, Scott Free Productions, Brandywine Productions",Des jeunes d'un monde lointain doivent affronter la forme de vie la plus terrifiante de l'univers.,Alien: Romulus,https://www.imdb.com/title/tt18412256/?ref_=rlm,,14-08-2024
